,Noshahr1,Noshahr2,Amoll,Amol2,Amol3,Chalus1,Chalus2,Chalus3,Ramsarl,Ramsar2,Saril,Sari2,Juybar
Ramsarl,92,90,178,177,179,83,84,82,12,13,251,250,248
Ramsar2,93,86,180,177,175,85,82,8I,15,16,248,244,250
Ramsar3,87,88,174,175,176,83,so,83,13,14,245,246,244
Noorl,50,51,44,45,42,66,65,66,140,139,116,118,112
Noor2,52,57,40,41,48,64,62,64,138,135,114,117,113
Noor3,52,49,48,44,45,62,65,68,136,138,116,115,114
Saril,162,165,72,73,71,178,178,177,252,250,9,12,20
Sari2,162,167,76,77,71,177,174,175,251,254,10,11,27
Sari3,166,163,75,76,79,175,177,176,255,257,15,13,22
