,,Tonekabonl,Tonekabon2,Tonekabon3,Chalus1,Chalus2,Chalus3,Qaemshahr1,Qaemshahr2,Ramsarl,Ramsar2,Baboll,Babol2,Neka
Garden,Ramsarl,25,27,23,78,77,75,225,228,9,7,210,105,277
,Ramsar2,22,25,22,80,78,79,226,224,5,4,208,207,280
,Ramsar3,24,23,28,78,76,74,224,229,8,10,205,209,271
,Noorl,113,112,111,61,62,63,94,92,138,139,74,76,142
,Noor2,114,115,119,62,65,64,91,93,137,135,77,75,146
,Noor3,111,112,115,64,63,67,95,97,132,133,72,73,149
,Saril,225,223,224,171,173,177,23,25,252,251,42,41,26
,Sari2,222,226,228,174,175,179,26,24,250,254,43,44,25
,Sari3,220,221,223,174,175,173,25,28,255,252,45,46,22
